GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MinhaApp,com.DesenvSoft,InvalidOperException,0,4,0,0,0,2,0,1,0,1
MinhaApp,com.DesenvSoft,ContaMagica,23,110,10,14,4,32,9,8,0,5
